"Masa","Altura","Num_Hojas","Masa_Seca","Variedad"
"1",28.6,19.1,4,9.3,"arborescens"
"2",20.6,14.8,3,7.7,"arborescens"
"3",29.2,19.7,5,10.4,"arborescens"
"4",32,21.1,7,11.5,"arborescens"
"5",24.5,19.4,4,8.4,"arborescens"
"6",29,19.5,4,10.3,"arborescens"
"7",28.9,18.9,4,10.1,"arborescens"
"8",18.2,14.6,2,6.3,"arborescens"
"9",7.9,10.2,1,2.7,"arborescens"
"10",15.5,14.6,2,5.5,"arborescens"
"11",22.6,16.4,2,8.3,"arborescens"
"12",35.5,21.1,6,13.1,"arborescens"
"13",32.5,20.7,5,11.4,"arborescens"
"14",28.7,18.7,5,10.5,"arborescens"
"15",26,17.6,3,9.5,"arborescens"
"16",13.5,13.2,2,4.7,"arborescens"
"17",16.4,14,2,6,"arborescens"
"18",12.5,12,3,4.3,"arborescens"
"19",26.2,18.3,5,9.1,"arborescens"
"20",22.6,17.8,2,8.2,"arborescens"
"21",9.7,10.7,1,3.3,"arborescens"
"22",21.8,16.5,3,7.2,"arborescens"
"23",17.2,14.5,3,5.9,"arborescens"
"24",25.2,17.5,4,9.1,"arborescens"
"25",12,12.2,2,4.2,"arborescens"
"26",6.3,8.6,1,2.2,"arborescens"
"27",7,9.1,1,2.5,"arborescens"
"28",20.4,17,4,7.1,"arborescens"
"29",18,15.3,3,6.3,"arborescens"
"30",21.1,15.8,4,7.3,"arborescens"
"31",18.2,15.9,2,5.8,"arborescens"
"32",15.2,12.2,3,5.2,"arborescens"
"33",19.8,16.1,4,6.6,"arborescens"
"34",21.4,16,3,7.5,"arborescens"
"35",15,13.8,1,5.1,"arborescens"
"36",16.4,14.4,2,5.3,"arborescens"
"37",17.3,14.2,5,5.9,"arborescens"
"38",16.4,15.7,2,6.1,"arborescens"
"39",13.5,12.6,2,4.8,"arborescens"
"40",13.6,12,3,4.5,"arborescens"
"41",14.6,12.8,4,4.6,"arborescens"
"42",16.9,15.3,3,5.9,"arborescens"
"43",11.7,12.4,2,4.1,"arborescens"
"44",14,14.5,2,5,"arborescens"
"45",14.6,12.3,2,5.3,"arborescens"
"46",10.3,11.8,2,3.8,"arborescens"
"47",11.3,12.6,2,4,"arborescens"
"48",10.7,11.3,2,3.9,"arborescens"
"49",10.9,12.5,3,3.6,"arborescens"
"50",20,16.1,4,7.2,"arborescens"
"51",21.5,16.2,2,7.7,"arborescens"
"52",12,11.3,2,4.3,"arborescens"
"53",6.1,8.6,1,2.2,"arborescens"
"54",5.4,8.2,1,2.1,"arborescens"
"55",40,24.5,7,17.4,"barbadensis"
"56",49.2,27,7,16.2,"barbadensis"
"57",46,25.8,5,13.9,"barbadensis"
"58",26.4,18.7,3,8.3,"barbadensis"
"59",42.2,25.2,5,15.5,"barbadensis"
"60",48.4,25.8,4,16.2,"barbadensis"
"61",23.9,19.2,4,8,"barbadensis"
"62",31.7,21.4,5,10.9,"barbadensis"
"63",16.8,12,4,5.3,"barbadensis"
"64",21.6,14,5,7.2,"barbadensis"
"65",24.1,18.5,3,8.1,"barbadensis"
"66",13.5,12.8,3,4.5,"barbadensis"
"67",22.4,13.8,3,7.5,"barbadensis"
"68",26.1,17.3,6,8.8,"barbadensis"
