Tecnologia	Potencia_Instalada_kW
Fotovoltaica	0,5
Fotovoltaica	2,7
Fotovoltaica	3,2
Fotovoltaica	1,5
Fotovoltaica	3,75
Fotovoltaica	1,5
Fotovoltaica	8
Fotovoltaica	8
Fotovoltaica	5,04
Fotovoltaica	1,5
Fotovoltaica	4,5
Fotovoltaica	1
Fotovoltaica	2
Fotovoltaica	4
Fotovoltaica	9,9
Fotovoltaica	5
Fotovoltaica	2,5
Fotovoltaica	1,5
Fotovoltaica	5
Fotovoltaica	3
Fotovoltaica	1,7
Fotovoltaica	1,6
Fotovoltaica	3
Fotovoltaica	7,5
Fotovoltaica	1
Fotovoltaica	2,5
Fotovoltaica	1,5
Fotovoltaica	5
Fotovoltaica	2,5
Fotovoltaica	3
Fotovoltaica	1
Fotovoltaica	3
Fotovoltaica	4,9
Fotovoltaica	2,94
Fotovoltaica	5,76
Fotovoltaica	2,84
Fotovoltaica	2,5
Fotovoltaica	2,3
Fotovoltaica	3
Fotovoltaica	4
Fotovoltaica	3
Fotovoltaica	3
Fotovoltaica	3
Fotovoltaica	3,3
Fotovoltaica	5,64
Fotovoltaica	3,64
Fotovoltaica	5,72
Fotovoltaica	0,72
Fotovoltaica	4,6
Fotovoltaica	2,5
Fotovoltaica	4,6
Fotovoltaica	2
Fotovoltaica	3
Fotovoltaica	3
Fotovoltaica	1
Fotovoltaica	4
Fotovoltaica	9
Fotovoltaica	4,5
Fotovoltaica	3,36
Fotovoltaica	5
Fotovoltaica	5
Bioliq_Biogas	3,3
Fotovoltaica	2,5
Fotovoltaica	10
Fotovoltaica	1,8
Fotovoltaica	10
Fotovoltaica	2,75
Fotovoltaica	9,9
Fotovoltaica	3
Fotovoltaica	10
Fotovoltaica	0,5
Fotovoltaica	2,25
Fotovoltaica	10
Fotovoltaica	9,86
Fotovoltaica	2,58
Fotovoltaica	5,6
Fotovoltaica	7,5
Fotovoltaica	7,2
Fotovoltaica	6
Fotovoltaica	5
Fotovoltaica	3,22
Fotovoltaica	2
Fotovoltaica	10
Fotovoltaica	7,5
Fotovoltaica	2
Fotovoltaica	0,6
Fotovoltaica	10
Fotovoltaica	10
Fotovoltaica	3,3
Fotovoltaica	6
Fotovoltaica	9
Fotovoltaica	3,3
Fotovoltaica	1,8
Hidroeléc.	10
Fotovoltaica	6,6
Fotovoltaica	1,59
Fotovoltaica	2,5
Fotovoltaica	4,6
Fotovoltaica	1
Fotovoltaica	0,5
Otros	9,9
Otros	9,9
Fotovoltaica	3
Fotovoltaica	2,6
Fotovoltaica	3,45
Fotovoltaica	2,5
Fotovoltaica	2,2
