"edad","genero","peso","altura"
19,"Hombre",65.8,1.73
17,"Hombre",63.5,1.73
20,"Hombre",74.8,1.72
20,"Hombre",81.4,1.65
18,"Hombre",92.7,1.68
20,"Hombre",73,1.72
17,"Hombre",68.6,1.76
20,"Hombre",92.6,1.77
17,"Hombre",50.5,1.61
17,"Hombre",77,1.83
18,"Hombre",93.8,1.72
18,"Hombre",65.6,1.63
20,"Hombre",80.4,1.66
17,"Hombre",71.9,1.66
20,"Hombre",89.4,1.74
20,"Hombre",63,1.7
17,"Hombre",107,1.71
17,"Hombre",56.9,1.71
18,"Hombre",98,1.8
18,"Hombre",62.2,1.67
19,"Hombre",63.6,1.74
18,"Hombre",53.1,1.67
18,"Hombre",100,1.68
17,"Hombre",60.8,1.74
18,"Hombre",78.2,1.76
19,"Hombre",70.8,1.76
18,"Hombre",81.7,1.67
20,"Hombre",77.6,1.65
17,"Hombre",87.2,1.68
19,"Hombre",69.3,1.72
19,"Hombre",67.7,1.76
17,"Hombre",67,1.69
18,"Hombre",83.8,1.67
18,"Hombre",57.5,1.78
18,"Hombre",77.8,1.7
20,"Hombre",72.3,1.7
18,"Hombre",52.5,1.68
20,"Hombre",86.9,1.68
18,"Hombre",78.1,1.74
18,"Hombre",73.1,1.71
18,"Hombre",71.1,1.71
19,"Hombre",86,1.68
18,"Mujer",68.9,1.58
18,"Mujer",73.1,1.67
18,"Mujer",66.1,1.71
20,"Mujer",55.1,1.69
19,"Mujer",51.7,1.67
20,"Mujer",53.7,1.58
18,"Mujer",53.8,1.61
18,"Mujer",59.9,1.62
20,"Mujer",54.6,1.72
19,"Mujer",64.2,1.72
18,"Mujer",56.8,1.68
18,"Mujer",80.5,1.73
19,"Mujer",80.6,1.58
17,"Mujer",82.5,1.63
17,"Mujer",56.9,1.7
19,"Mujer",76.1,1.65
20,"Mujer",69,1.65
18,"Mujer",60.1,1.68
19,"Mujer",84.1,1.74
18,"Mujer",64.1,1.65
18,"Mujer",105,1.73
17,"Mujer",82.1,1.76
18,"Mujer",68.1,1.68
20,"Mujer",77.5,1.63
20,"Mujer",84,1.67
20,"Mujer",52.1,1.59
19,"Mujer",85.9,1.75
19,"Mujer",77.5,1.72
18,"Mujer",73.6,1.63
19,"Mujer",83.1,1.62
19,"Mujer",58.8,1.62
19,"Mujer",51.9,1.56
18,"Mujer",57.4,1.67
19,"Mujer",74.6,1.67
20,"Mujer",63.7,1.6
18,"Mujer",61.6,1.71
18,"Mujer",78.4,1.6
19,"Mujer",73.8,1.59
18,"Mujer",48.9,1.57
18,"Mujer",55.5,1.68
19,"Mujer",73,1.69
18,"Mujer",74.4,1.7
17,"Mujer",89.3,1.74
17,"Mujer",52,1.63
18,"Mujer",99.6,1.7
20,"Mujer",62,1.58
20,"Mujer",76.3,1.71
19,"Mujer",70.4,1.69
17,"Mujer",72.4,1.66
20,"Mujer",77.1,1.61
19,"Mujer",74.9,1.66
18,"Mujer",91.9,1.68
20,"Mujer",89,1.73
20,"Mujer",58.3,1.55
18,"Mujer",76.2,1.57
19,"Mujer",74.9,1.73
17,"Mujer",87.2,1.71
19,"Mujer",86.8,1.68
