"ID","Sexo","Raza","Estatus_Socieconomico","Tipo_Escuela","Tipo_Programa","P_Lectura","P_Escritura","P_Matematicas","P_Ciencias","P_Sociales"
"1",70,"Hombre","Blanca","bajo","Publico","General",57,52,41,47,57
"2",121,"Mujer","Blanca","medio","Publico","Vocational/technical",68,59,53,63,61
"3",86,"Hombre","Blanca","alto","Publico","General",44,33,54,58,31
"4",141,"Hombre","Blanca","alto","Publico","Vocational/technical",63,44,47,53,56
"5",172,"Hombre","Blanca","medio","Publico","Academic preparatory",47,52,57,53,61
"6",113,"Hombre","Blanca","medio","Publico","Academic preparatory",44,52,51,63,61
"7",50,"Hombre","Negra","medio","Publico","General",50,59,42,53,61
"8",11,"Hombre","Hispana","medio","Publico","Academic preparatory",34,46,45,39,36
"9",84,"Hombre","Blanca","medio","Publico","General",63,57,54,58,51
"10",48,"Hombre","Negra","medio","Publico","Academic preparatory",57,55,52,50,51
"11",75,"Hombre","Blanca","medio","Publico","Vocational/technical",60,46,51,53,61
"12",60,"Hombre","Blanca","medio","Publico","Academic preparatory",57,65,51,63,61
"13",95,"Hombre","Blanca","alto","Publico","Academic preparatory",73,60,71,61,71
"14",104,"Hombre","Blanca","alto","Publico","Academic preparatory",54,63,57,55,46
"15",38,"Hombre","Negra","bajo","Publico","Academic preparatory",45,57,50,31,56
"16",115,"Hombre","Blanca","bajo","Publico","General",42,49,43,50,56
"17",76,"Hombre","Blanca","alto","Publico","Academic preparatory",47,52,51,50,56
"18",195,"Hombre","Blanca","medio","Privado","General",57,57,60,58,56
"19",114,"Hombre","Blanca","alto","Publico","Academic preparatory",68,65,62,55,61
"20",85,"Hombre","Blanca","medio","Publico","General",55,39,57,53,46
"21",167,"Hombre","Blanca","medio","Publico","General",63,49,35,66,41
"22",143,"Hombre","Blanca","medio","Publico","Vocational/technical",63,63,75,72,66
"23",41,"Hombre","Negra","medio","Publico","Academic preparatory",50,40,45,55,56
"24",20,"Hombre","Hispana","alto","Publico","Academic preparatory",60,52,57,61,61
"25",12,"Hombre","Hispana","medio","Publico","Vocational/technical",37,44,45,39,46
"26",53,"Hombre","Negra","medio","Publico","Vocational/technical",34,37,46,39,31
"27",154,"Hombre","Blanca","alto","Publico","Academic preparatory",65,65,66,61,66
"28",178,"Hombre","Blanca","medio","Privado","Vocational/technical",47,57,57,58,46
"29",196,"Hombre","Blanca","alto","Privado","Academic preparatory",44,38,49,39,46
"30",29,"Hombre","Asiática","bajo","Publico","General",52,44,49,55,41
"31",126,"Hombre","Blanca","medio","Publico","General",42,31,57,47,51
"32",103,"Hombre","Blanca","alto","Publico","Academic preparatory",76,52,64,64,61
"33",192,"Hombre","Blanca","alto","Privado","Academic preparatory",65,67,63,66,71
