"Year_Mes","Provincia","Total_Ventas"
"1",2012-01-01,"Barcelona",45517.604
"2",2012-01-01,"Badajoz",17429.9675
"3",2012-01-01,"Caceres",51071.1925
"4",2012-01-01,"Gerona",8085.41
"5",2012-01-01,"Huelva",1666
"6",2012-01-01,"Madrid",1845.185
"7",2012-01-01,"Jaen",26715.158
"8",2012-01-01,"Oviedo",257.19
"9",2012-01-01,"Albacete",24912.5965
"10",2012-01-01,"Alicante",1124.4335
"11",2012-01-01,"Almeria",79483.6765
"12",2012-01-01,"Asturias",66770.3895
"13",2012-01-01,"Avila",13205.024
"14",2012-02-01,"Barcelona",69843.665
"15",2012-02-01,"Badajoz",33256.2705
"16",2012-02-01,"Caceres",19937.6085
"17",2012-02-01,"Gerona",10221.4905
"18",2012-02-01,"Huelva",577.748
"19",2012-02-01,"Madrid",9450.4485
"20",2012-02-01,"Jaen",6515.9195
"21",2012-02-01,"Oviedo",5126.014
"22",2012-02-01,"Albacete",29358.6085
"23",2012-02-01,"Almeria",53333.082
"24",2012-02-01,"Asturias",30430.524
"25",2012-02-01,"Avila",8081.12
"26",2012-03-01,"Barcelona",34514.689
"27",2012-03-01,"Badajoz",68443.999
"28",2012-03-01,"Caceres",62519.4655
"29",2012-03-01,"Gerona",1987.3865
"30",2012-03-01,"Huelva",596.156
"31",2012-03-01,"Madrid",10463.17
"32",2012-03-01,"Jaen",15023.38
"33",2012-03-01,"Albacete",73836.6895
"34",2012-03-01,"Alicante",2434.84
"35",2012-03-01,"Almeria",30728.6295
"36",2012-03-01,"Asturias",25022.036
"37",2012-03-01,"Avila",22637.884
"38",2012-04-01,"Barcelona",20482.293
"39",2012-04-01,"Badajoz",23286.5235
"40",2012-04-01,"Caceres",35635.8445
"41",2012-04-01,"Gerona",9519.4395
"42",2012-04-01,"Huelva",670.51
"43",2012-04-01,"Madrid",6338.5305
"44",2012-04-01,"Jaen",7613.124
"45",2012-04-01,"Oviedo",3315.8245
"46",2012-04-01,"Albacete",97194.4545
"47",2012-04-01,"Alicante",1025.75
"48",2012-04-01,"Almeria",34088.3625
"49",2012-04-01,"Asturias",23932.3335
"50",2012-04-01,"Avila",4921.98
"51",2012-05-01,"Barcelona",21815.9445
"52",2012-05-01,"Badajoz",18529.707
"53",2012-05-01,"Caceres",35094.043
"54",2012-05-01,"Gerona",37851.386
"55",2012-05-01,"Huelva",618.84
"56",2012-05-01,"Madrid",3552.74
"57",2012-05-01,"Jaen",16096.84
"58",2012-05-01,"Oviedo",3766.3
"59",2012-05-01,"Albacete",109791.71
"60",2012-05-01,"Alicante",10586.4125
"61",2012-05-01,"Almeria",31394.9595
"62",2012-05-01,"Asturias",82964.683
"63",2012-05-01,"Avila",12524.496
"64",2012-06-01,"Barcelona",12896.5935
"65",2012-06-01,"Badajoz",39363.777
"66",2012-06-01,"Caceres",19876.554
"67",2012-06-01,"Gerona",5086.7695
"68",2012-06-01,"Huelva",25.09
"69",2012-06-01,"Madrid",24358.677
"70",2012-06-01,"Jaen",35794.5035
"71",2012-06-01,"Oviedo",2503.53
"72",2012-06-01,"Albacete",32165.1905
"73",2012-06-01,"Alicante",17317.049
"74",2012-06-01,"Almeria",22868.6535
"75",2012-06-01,"Asturias",46894.088
"76",2012-06-01,"Avila",17430.46
"77",2012-07-01,"Barcelona",22484.0755
"78",2012-07-01,"Badajoz",23785.0505
"79",2012-07-01,"Caceres",1719.6
"80",2012-07-01,"Gerona",6914.992
"81",2012-07-01,"Huelva",11263.052
"82",2012-07-01,"Madrid",8576.504
"83",2012-07-01,"Jaen",5005.12
"84",2012-07-01,"Oviedo",385.8
"85",2012-07-01,"Albacete",70373.0925
"86",2012-07-01,"Alicante",7762.2125
"87",2012-07-01,"Almeria",18802.8375
"88",2012-07-01,"Asturias",43538.053
"89",2012-07-01,"Avila",22199.31
"90",2012-08-01,"Barcelona",65244.19
"91",2012-08-01,"Badajoz",51533.768
"92",2012-08-01,"Caceres",19879.7135
"93",2012-08-01,"Gerona",15496.684
"94",2012-08-01,"Huelva",611.16
"95",2012-08-01,"Madrid",12550.331
"96",2012-08-01,"Jaen",27856.56
"97",2012-08-01,"Oviedo",161.51
"98",2012-08-01,"Albacete",32196.733
"99",2012-08-01,"Alicante",32885.1825
"100",2012-08-01,"Almeria",15205.0495
