Años	Carbon_y_derivados	Derivados_petroleo	Gas_natural	Energias_derivadas	Energias_renovables	Energia_electrica
2000	188	2060	1050	138	208	1357
2001	177	1993	1139	131	197	1406
2002	157	2015	1141	153	215	1439
2003	165	2035	1299	155	214	1462
2004	165	2094	1335	155	258	1566
2005	153	2170	1262	152	228	1548
2006	160	2190	1251	134	243	1619
2007	122	2272	1279	137	286	1650
2008	76	2254	1377	162	277	1609
2009	57	2089	1274	150	293	1396
2010	65	2012	1345	133	340	1464
2011	59	1936	1445	1	319	1419
2012	51	2017	1445	1	303	1317
2013	47	2004	1418	15	273	1292
2014	45	2056	1325	16	263	1279
2015	45	2134	1289	20	262	1289
