"Capturas.producto.tradicional"	"Capturas.feromona"
54	70
45	72
54	71
48	63
50	64
40	60
51	73
44	56
47	64
49	64
49	62
50	63
47	65
53	66
56	61
42	65
48	65
45	76
46	57
50	62
52	65
51	56
54	58
44	59
46	63
48	72
49	61
50	69
46	72
43	65
49	62
42	62
47	75
58	63
54	70
42	61
35	54
59	60
52	72
51	59
46	61
60	69
38	76
52	69
37	67
49	59
57	65
61	62
50	66
52	63
57	66
49	75
43	74
49	65
50	56
49	64
58	74
47	64
51	64
49	65
56	62
46	51
57	67
51	62
48	65
48	55
48	73
41	69
51	63
42	58
51	51
39	60
45	66
51	66
57	64
54	67
55	75
48	65
47	60
46	66
50	66
50	67
52	62
53	73
55	64
41	68
53	61
50	63
53	69
42	65
58	68
46	70
47	61
50	66
49	68
52	64
50	64
48	65
58	76
61	68
