"Operario"	"Sin.herramienta"	"Con.herramienta"
1	138,291678894661	132,706385175123
2	125,814325468050	120,598594046382
3	132,656855957690	134,208450498798
4	147,178412798966	150,414074662939
5	123,000632158869	126,374653649708
6	142,472921104088	139,996599088006
7	138,525416477471	139,738097790155
8	129,678766253909	133,376797532751
9	133,290459377507	137,668787597558
10	151,025089410033	156,855195211506
11	141,420532032824	145,140002862285
12	142,623643810341	140,308645928012
13	123,494739785982	135,907310825794
14	151,389594022159	148,700585136621
15	142,892044977837	142,577181487198
16	119,033580738666	126,017816572207
17	139,096555894450	120,650042225902
18	114,876985972804	116,718297670536
19	156,04867419561	138,746605596144
20	134,031058922701	117,73961220545
21	132,673328942206	149,387423227146
22	150,237793577785	170,705935247262
23	148,629717812568	141,659040975728
24	149,571967624425	139,294836685379
25	149,683640896761	143,829865994421
26	126,331721840671	121,929889386485
27	137,544681442817	130,572337496161
28	126,796957353202	126,903674614372
29	141,259508821713	141,563868827823
30	141,668546557158	137,496435035044
31	145,711210052867	158,728270217598
32	140,424256291115	147,649377919877
33	139,227700336192	141,896795188422
34	137,834953542352	132,068796183202
35	140,910782331484	130,445672066626
36	149,733542955884	147,452042819516
37	141,185305906761	145,858922976906
38	129,905023295187	124,193924391956
39	138,644542335276	125,338573646017
40	137,231884786329	135,116639714500
