temperatura	mes	year
3,17	1	1987
6,87	2	1987
8,13	3	1987
14,93	4	1987
15,61	5	1987
17,74	6	1987
20,91	7	1987
21,11	8	1987
18,67	9	1987
14,37	10	1987
9,26	11	1987
8,10	12	1987
8,05	1	1988
8,25	2	1988
9,96	3	1988
12,74	4	1988
17,32	5	1988
18,72	6	1988
18,91	7	1988
20,37	8	1988
17,73	9	1988
14,44	10	1988
8,91	11	1988
9,92	12	1988
8,84	1	1999
9,48	2	1999
11,92	3	1999
11,09	4	1999
20,40	5	1999
21,24	6	1999
25,09	7	1999
23,03	8	1999
20,13	9	1999
15,81	10	1999
10,29	11	1999
8,70	12	1999
9,45	1	2000
11,03	2	2000
12,49	3	2000
13,80	4	2000
20,16	5	2000
18,52	6	2000
24,03	7	2000
25,33	8	2000
18,96	9	2000
16,04	10	2000
10,21	11	2000
7,08	12	2000
6,98	1	2001
4,82	2	2001
12,02	3	2001
13,14	4	2001
15,58	5	2001
16,88	6	2001
22,64	7	2001
23,53	8	2001
21,14	9	2001
13,81	10	2001
10,38	11	2001
7,77	12	2001
6,96	1	2002
8,69	2	2002
11,48	3	2002
13,35	4	2002
20,46	5	2002
21,48	6	2002
21,43	7	2002
21,40	8	2002
18,04	9	2002
12,18	10	2002
11,53	11	2002
7,49	12	2002
10,12	1	2003
6,99	2	2003
11,21	3	2003
14,17	4	2003
17,79	5	2003
21,10	6	2003
21,12	7	2003
20,90	8	2003
17,25	9	2003
12,85	10	2003
8,44	11	2003
8,97	12	2003
8,83	1	2004
7,22	2	2004
11,81	3	2004
12,62	4	2004
16,23	5	2004
20,86	6	2004
25,52	7	2004
22,38	8	2004
17,14	9	2004
14,88	10	2004
13,26	11	2004
10,15	12	2004
8,31	1	2005
10,44	2	2005
10,67	3	2005
14,80	4	2005
18,74	5	2005
19,94	6	2005
25,91	7	2005
27,27	8	2005
18,36	9	2005
17,84	10	2005
11,53	11	2005
5,51	12	2005
7,02	1	2006
6,07	2	2006
8,49	3	2006
14,00	4	2006
14,39	5	2006
21,94	6	2006
23,26	7	2006
22,34	8	2006
18,46	9	2006
15,65	10	2006
10,00	11	2006
6,19	12	2006
4,93	1	2007
10,18	2	2007
13,37	3	2007
15,01	4	2007
18,17	5	2007
19,93	6	2007
23,15	7	2007
24,81	8	2007
20,24	9	2007
15,65	10	2007
12,14	11	2007
9,71	12	2007
8,76	1	2008
11,24	2	2008
11,72	3	2008
12,55	4	2008
19,43	5	2008
19,35	6	2008
20,44	7	2008
22,88	8	2008
20,01	9	2008
14,81	10	2008
9,66	11	2008
9,35	12	2008
9,52	1	2009
8,49	2	2009
11,79	3	2009
14,65	4	2009
18,95	5	2009
20,01	6	2009
24,27	7	2009
22,72	8	2009
21,14	9	2009
15,33	10	2009
11,36	11	2009
8,68	12	2009
