Year	Access to Clean Fuels and Technologies for cooking (% of total population)	Access to electricity (% of rural population with access)	Access to electricity (% of total population)	Access to electricity (% of urban population with access)	Energy intensity level of primary energy (MJ/2011 USD PPP)	Renewable electricity output (GWh)	Renewable electricity share of total electricity output (%)	Renewable energy consumption (TJ)	Renewable energy share of TFEC (%)	Total electricity output (GWh)	Total final energy consumption (TFEC) (TJ)
1990		100	100	100	4.025774405	26032	17.22	241808.9118	10.5444317	151206	2293237.974
1991		100	100	100	4.072097107	27809	17.97	236942.1135	9.921294033	154749	2388217.834
1992		100	100	100	4.109642215	19602	12.51	198957.2968	8.22090825	156700	2420137.663
1993		100	100	100	3.982752827	25124	16.16	216495.1048	9.079810266	155439	2384357.144
1994		100	100	100	4.105861339	29060	18.06	230894.2758	9.241374711	160902	2498484.079
1995		100	100	100	4.17985313	24376	14.72	211024.5674	8.264565793	165596	2553365.449
1996		100	100	100	4.011050453	41245	23.79	263237.3665	10.06199052	173365	2616155.977
1997		100	100	100	4.11132278	36971	19.55	249598.6518	9.154294094	189147	2726574.537
1998		100	100	100	4.140574581	36887	19.07	256963.3464	8.941413864	193392	2873855.861
1999		100	100	100	4.154720369	27308	13.27	229042.9438	7.681656559	205837	2981686.854
2000	100	100	100	100	4.136924937	34494	15.61	251199.8613	7.88433341	220921	3186063.402
2001	100	100	100	100	4.081644959	49302	21.15	299027.9445	8.933449927	233067	3347284.049
2002	100	100	100	100	4.085601552	33182	13.83	252761.4193	7.415105438	239917	3408736.685
2003	100	100	100	100	4.095679913	55783	21.68	323092.4082	8.899924156	257313	3630282.715
2004	100	100	100	100	4.143031769	50170	18.13	304944.9309	8.03208844	276652	3796583.332
2005	100	100	100	100	4.078545405	42263	14.6	286009.706	7.289816625	289445	3923414.274
2006	100	100	100	100	3.911672736	52149	17.64	324023.2173	8.472207663	295582	3824542.908
2007	100	100	100	100	3.823139888	58283	19.31	353515.8639	9.00538701	301839	3925604.347
2008	100	100	100	100	3.656071351	62143	19.98	368151.6925	9.737202736	310978	3780877.347
2009	100	100	100	100	3.48573642	74080	25.38	428621.3544	12.21794599	291869	3508129.392
2010	100	100	100	100	3.482530245	97776	32.78	513546.0593	14.39578465	298320	3567336.354
2011	100	100	100	100	3.461770102	87523	30.02	506659.1912	14.74592627	291533	3435926.518
2012	100	100	100	100	3.548875061	86962	29.58	519522.5459	15.7709516	293942	3294173.738
2013	100	100	100	100	3.367813648	111406	39.58	539846.4647	16.94996459	281445	3184941.549
2014	100	100	100	100	3.250094677	110269	40.11	541486.8211	17.35173648	274949	3120649.174
