"maxO3" "T9" "T12" "T15" "Ne9" "Ne12" "Ne15" "Wx9" "Wx12" "Wx15" "maxO3y" "wind" "rain"
"20010601" 87 15.6 18.5 18.4 4 4 8 0.6946 -1.7101 -0.6946 84 "North" "Dry"
"20010602" 82 17 18.4 17.7 5 5 7 -4.3301 -4 -3 87 "North" "Dry"
"20010603" 92 15.3 17.6 19.5 2 5 4 2.9544 1.8794 0.5209 82 "East" "Dry"
"20010604" 114 16.2 19.7 22.5 1 1 0 0.9848 0.3473 -0.1736 92 "North" "Dry"
"20010605" 94 17.4 20.5 20.4 8 8 7 -0.5 -2.9544 -4.3301 114 "West" "Dry"
"20010606" 80 17.7 19.8 18.3 6 6 7 -5.6382 -5 -6 94 "West" "Rainy"
"20010607" 79 16.8 15.6 14.9 7 8 8 -4.3301 -1.8794 -3.7588 80 "West" "Dry"
"20010610" 79 14.9 17.5 18.9 5 5 4 0 -1.0419 -1.3892 99 "North" "Dry"
"20010611" 101 16.1 19.6 21.4 2 4 4 -0.766 -1.0261 -2.2981 79 "North" "Dry"
"20010612" 106 18.3 21.9 22.9 5 6 8 1.2856 -2.2981 -3.9392 101 "West" "Dry"
"20010613" 101 17.3 19.3 20.2 7 7 3 -1.5 -1.5 -0.8682 106 "North" "Dry"
"20010614" 90 17.6 20.3 17.4 7 6 8 0.6946 -1.0419 -0.6946 101 "South" "Dry"
"20010615" 72 18.3 19.6 19.4 7 5 6 -0.8682 -2.7362 -6.8944 90 "South" "Dry"
"20010616" 70 17.1 18.2 18 7 7 7 -4.3301 -7.8785 -5.1962 72 "West" "Rainy"
"20010617" 83 15.4 17.4 16.6 8 7 7 -4.3301 -2.0521 -3 70 "North" "Dry"
"20010618" 88 15.9 19.1 21.5 6 5 4 0.5209 -2.9544 -1.0261 83 "West" "Dry"
"20010620" 145 21 24.6 26.9 0 1 1 -0.342 -1.5321 -0.684 121 "West" "Dry"
"20010621" 81 16.2 22.4 23.4 8 3 1 0 0.3473 -2.5712 145 "North" "Dry"
"20010622" 121 19.7 24.2 26.9 2 1 0 1.5321 1.7321 2 81 "East" "Dry"
"20010623" 146 23.6 28.6 28.4 1 1 2 1 -1.9284 -1.2155 121 "South" "Dry"
"20010624" 121 20.4 25.2 27.7 1 0 0 0 -0.5209 1.0261 146 "North" "Dry"
"20010625" 146 27 32.7 33.7 0 0 0 2.9544 6.5778 4.3301 121 "East" "Dry"
"20010626" 108 24 23.5 25.1 4 4 0 -2.5712 -3.8567 -4.6985 146 "South" "Dry"
"20010627" 83 19.7 22.9 24.8 7 6 6 -2.5981 -3.9392 -4.924 108 "West" "Dry"
"20010628" 57 20.1 22.4 22.8 7 6 7 -5.6382 -3.8302 -4.5963 83 "West" "Rainy"
"20010629" 81 19.6 25.1 27.2 3 4 4 -1.9284 -2.5712 -4.3301 57 "South" "Dry"
"20010630" 67 19.5 23.4 23.7 5 5 4 -1.5321 -3.0642 -0.8682 81 "West" "Dry"
"20010701" 70 18.8 22.7 24.9 5 2 1 0.684 0 1.3681 67 "North" "Dry"
"20010702" 106 24.1 28.4 30.1 0 0 1 2.8191 3.9392 3.4641 70 "East" "Dry"
"20010703" 139 26.6 30.1 31.9 0 1 4 1.8794 2 1.3681 106 "South" "Dry"
