Parque1 Parque2
1 3.5 4.03
2 2.19 2.75
3 1.93 1.99
4 2.08 1.92
5 2.88 2.28
6 2.8 3.85
7 4.79 5.52
8 4.91 5.1
9 5.81 5.91
10 5.48 4.57
11 5.04 4.77
12 4.38 5.15
13 5.11 5.27
14 5.39 5.2
15 5.99 4.71
16 5.79 5.15
17 6.43 4.94
18 6.5 5.26
19 6.39 5.87
20 6.59 5.8
21 6.7 5.28
22 5.92 4.7
23 5.89 4.53
24 6.63 4.78
25 6.06 4.36
26 6.52 5.21
27 5.94 4.85
28 6.67 4.86
29 6.62 5.71
30 5.67 5.15
31 5.69 5.33
32 6.46 5.39
33 6.29 4.93
34 6.31 4.94
35 6.18 6.59
36 4.46 4.83
37 3.84 3.64
38 2.87 3.9
39 2.45 2.76
40 3.52 2.33
41 3.35 2.53
42 3.41 3.33
43 3.19 3.03
44 2.2 2
45 1.21 1.16
46 1.88 2.75
47 1.97 3.74
48 2.43 4.08
49 2.2 3.64
50 2.96 3.83
51 4.08 4.87
52 4.2 4.45
53 4.47 4.19
54 5.08 4.73
55 3.59 3.82
56 3.41 2.95
57 2.32 1.85
58 1.44 1.31
59 3.57 4.41
60 4.14 5.04
61 3.73 4.54
62 2.97 3.32
63 3.38 3.22
64 3.54 3.73
65 4.11 4.36
66 4.85 5
67 5.66 5.56
68 4.81 5.39
69 5.27 5.6
70 5.48 5.35
71 6.01 4.93
72 6.99 6.45
73 8.2 6.95
74 6.82 6.66
75 7.1 6.8
76 9.08 7.99
77 9.19 7.32
78 8.93 8.04
79 7.71 6.82
80 7.28 7.08
81 8.38 5.96
82 9.88 8.28
83 8.39 9.06
84 8.16 10.36
85 7.61 8.32
86 7.19 7.27
87 7.36 7.76
88 7.12 6.52
89 6.8 6.23
90 5.35 6.93
91 5.31 4.89
92 4.86 3.84
93 4.51 4.36
94 3.87 3.68
95 3.69 3.6
96 3.09 2.99
97 2.72 2.63
98 2.33 2.3
99 2.82 3.12
100 2.49 3
101 1.73 2.18
102 2.17 2.86
103 2.39 2.23
104 2.28 1.91
105 1.9 2.33
106 2.01 2.63
107 2.01 2.68
108 1.88 1.86
109 1.9 1.37
110 1.72 1.09
111 1.62 1.03
112 2.15 1.9
113 2.29 2.15
114 1.65 2.08
115 1.95 1.4
116 2.21 2.5
117 0.84 1.23
118 0.52 0.61
119 1.16 1.06
120 1.03 1.28
121 0.73 0.98
122 0.77 0.86
123 1.89 1.93
124 2.13 2.88
125 3.58 3.62
126 3.26 3.54
127 2.94 3.51
128 3.32 3.74
129 2.29 3.6
130 1.6 3.19
131 1.28 2.98
132 2.31 2.09
133 4.66 2.86
134 5.21 4.23
135 4.17 4
136 4.65 4.03
137 5.62 3.76
138 4.22 4.17
139 7.19 4.78
140 9.09 6.12
141 9.26 6.13
