"Num_Empleado"	"Salario"	"Desde_Fecha"	"Hasta_Fecha"
"1"	10001	60117	"2006-06-26"	"2007-06-26"
"2"	10001	62102	"2007-06-26"	"2008-06-25"
"3"	10001	66074	"2008-06-25"	"2009-06-25"
"4"	10001	66596	"2009-06-25"	"2010-06-25"
"5"	10001	66961	"2010-06-25"	"2011-06-25"
"6"	10001	71046	"2011-06-25"	"2012-06-24"
"7"	10001	74333	"2012-06-24"	"2013-06-24"
"8"	10001	75286	"2013-06-24"	"2014-06-24"
"9"	10001	75994	"2014-06-24"	"2015-06-24"
"10"	10001	76884	"2015-06-24"	"2016-06-23"
"11"	10001	80013	"2016-06-23"	"2017-06-23"
"12"	10001	81025	"2017-06-23"	"2018-06-23"
"13"	10001	81097	"2018-06-23"	"2019-06-23"
"18"	10002	65828	"2006-08-03"	"2007-08-03"
"19"	10002	65909	"2007-08-03"	"2008-08-03"
"20"	10002	67534	"2008-08-03"	"2009-08-03"
"21"	10002	69366	"2009-08-03"	"2010-08-02"
"22"	10002	71963	"2010-08-02"	"2011-08-02"
"23"	10002	72527	"2011-08-02"	"2018-01-01"
"24"	10003	40006	"2005-12-03"	"2006-12-02"
"25"	10003	43616	"2006-12-02"	"2007-12-02"
"26"	10003	43466	"2007-12-02"	"2008-12-02"
"27"	10003	43636	"2008-12-02"	"2009-12-02"
"28"	10003	43478	"2009-12-02"	"2010-12-01"
"29"	10003	43699	"2010-12-01"	"2018-12-01"
"30"	10003	43311	"2011-12-01"	"2013-01-01"
"31"	10004	40054	"2006-12-01"	"2007-12-01"
"32"	10004	42283	"2007-12-01"	"2008-11-30"
"33"	10004	42542	"2008-11-30"	"2009-11-30"
"34"	10004	46065	"2009-11-30"	"2010-11-30"
"35"	10004	48271	"2010-11-30"	"2011-11-30"
"36"	10004	50594	"2011-11-30"	"2012-11-29"
"37"	10004	52119	"2012-11-29"	"2013-11-29"
"38"	10004	54693	"2013-11-29"	"2014-11-29"
"39"	10004	58326	"2014-11-29"	"2015-11-29"
"40"	10004	60770	"2015-11-29"	"2016-11-28"
"41"	10004	62566	"2016-11-28"	"2017-11-28"
"42"	10004	64340	"2017-11-28"	"2018-11-28"
"43"	10004	67096	"2018-11-28"	"2019-11-28"
"47"	10005	78228	"2009-09-12"	"2010-09-12"
"48"	10005	82621	"2010-09-12"	"2011-09-12"
"49"	10005	83735	"2011-09-12"	"2012-09-11"
"50"	10005	85572	"2012-09-11"	"2013-09-11"
"51"	10005	85076	"2013-09-11"	"2014-09-11"
"52"	10005	86050	"2014-09-11"	"2015-09-11"
"53"	10005	88448	"2015-09-11"	"2016-09-10"
"54"	10005	88063	"2016-09-10"	"2017-09-10"
"55"	10005	89724	"2017-09-10"	"2018-09-10"
"56"	10005	90392	"2018-09-10"	"2019-09-10"
"60"	10006	40000	"2000-08-05"	"2001-08-05"
"61"	10006	42085	"2001-08-05"	"2002-08-04"
"62"	10006	42629	"2002-08-04"	"2003-08-04"
"63"	10006	45844	"2003-08-04"	"2004-08-04"
"64"	10006	47518	"2004-08-04"	"2005-08-04"
"65"	10006	47917	"2005-08-04"	"2006-08-03"
"66"	10006	52255	"2006-08-03"	"2007-08-03"
"67"	10006	53747	"2007-08-03"	"2008-08-03"
"68"	10006	56032	"2008-08-03"	"2009-08-03"
"69"	10006	58299	"2009-08-03"	"2010-08-02"
"70"	10006	60098	"2010-08-02"	"2011-08-02"
"71"	10006	59755	"2011-08-02"	"2018-01-01"
"72"	10007	56724	"2009-02-10"	"2010-02-10"
"73"	10007	60740	"2010-02-10"	"2011-02-10"
"74"	10007	62745	"2011-02-10"	"2012-02-10"
"75"	10007	63475	"2012-02-10"	"2013-02-09"
